2026-04-25 16:43:26 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-25 16:43:31 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-25 16:43:31 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-25 16:43:35 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-25 16:43:35 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-25 16:43:35 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-25 16:43:35 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-25 16:43:40 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-25 16:43:40 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-25 16:43:40 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-25 16:43:40 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-25 16:43:40 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-25 16:43:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-25 16:43:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-25 16:43:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-25 16:43:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-25 16:43:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-26 02:08:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-26 02:08:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-26 02:08:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-26 02:08:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-26 02:08:45 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-26 02:08:51 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-26 02:08:51 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-26 02:08:51 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-26 02:08:51 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-26 02:08:51 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-26 02:08:57 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-26 02:08:57 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-26 02:08:57 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-26 02:08:57 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-26 02:08:57 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-26 02:09:03 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-26 02:09:03 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-26 02:09:03 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-26 02:09:03 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-26 02:09:03 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-26 02:09:08 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-26 02:09:08 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-26 02:09:08 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-26 02:09:08 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-26 02:09:08 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
2026-04-26 02:09:14 | INFO | stream.sinks | Published message to topic=hospital-predictions key=245688426
2026-04-26 02:09:14 | INFO | stream.sinks | Published message to topic=hospital-predictions key=135993852
2026-04-26 02:09:14 | INFO | stream.sinks | Published message to topic=hospital-predictions key=110939484
2026-04-26 02:09:14 | INFO | stream.sinks | Published message to topic=hospital-predictions key=150826224
2026-04-26 02:09:14 | INFO | stream.sinks | Published message to topic=hospital-predictions key=170328306
